Ticket_ID,Created_Date,Priority,Is_Escalated,Is_Autosolved,Is_Requester_From_Doit,Is_Cloud_Support_Case_Used,Cloud_Platform,Practice_Area,Skill_Group,Product,Subject,Agent_Name,Requester_Organization_Name,Sentiment_Integer,Average_Solve_Time_Hours,comment_count,conversation_duration_days,Best_Matched_Issue,Best_Matched_Resolution,similarity_score,search_method
150753,10/2/2023,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Migrating standalone Looker instances to GCP projects,Jonathan Reinhard,benefex.co.uk,3,240,7,10,Interoperability and Flexibility ,Third Party ,,Keyword
155330,10/26/2023,high,FALSE,FALSE,FALSE,FALSE,Google Cloud,ProductMappingIsMissing,ProductMappingIsMissing,Identity and Access Management (IAM),IDP,Kefeng Deng,tretaillabs.com,4,986.8,38,41,Reliability and Availability ,Third Party ,,Keyword
155639,10/27/2023,normal,FALSE,TRUE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Follow up to ticket number 148761,Marcin Orlinski,cleeng.com,2,169,4,0,Compliance ,Third Party ,,Keyword
157717,11/7/2023,high,FALSE,FALSE,FALSE,TRUE,Google Cloud,Data and Analytics,Data,Looker,The new Looker instance (Looker Finance) is very slow,Joe Dabbert,appsflyer.com,3,515.6,82,24,Cost Management ,Finance Ops Fix ,,Keyword
158132,11/8/2023,high,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,LookerGsheets sync failing after email address migration,Dion Edge,quickcommerce.org,3,122.8,15,5,Interoperability and Flexibility ,Duplicate / Merged ,0.6000628149,Similarity
162180,11/30/2023,high,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Looker-Slack Integration with Embed Users for Content Deliveries,Hanna Schulze,paceup.com,3,499.2,29,20,Password Security ,Other Internal Dept ,,Keyword
166083,12/18/2023,low,FALSE,TRUE,FALSE,FALSE,Google Cloud,ProductIsNull,ProductIsNull,nan,gCRE Architecture Review Looker - Google Cloud for autotrader.co.uk,Dion Edge,autotrader.co.uk,2,1860.7,17,72,Lack of Knowledge and Expertise ,Third Party ,,Keyword
174872,2/1/2024,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,LookerEmbedSDK is not appending dashboard,Jonathan Reinhard,sell-pick.com,3,93.8,12,3,Lack of Knowledge and Expertise ,Unresolved ,,Keyword
174944,2/1/2024,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Adding users outside of organization,Joe Dabbert,stylight.com,3,114.9,7,4,Password Security ,Third Party ,,Keyword
174979,2/1/2024,normal,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker Studio,Scheduled Reports Delivery,Dion Edge,moneygram.com,4,114.2,7,4,Performance Challenges ,Finance Ops Fix ,0.7151066219,Similarity
177857,2/13/2024,low,FALSE,FALSE,FALSE,FALSE,Google Cloud,ProductIsNull,ProductIsNull,nan,gCRE Proof of Concept Looker - Google Cloud for sliide.com,Joe Dabbert,sliide.com,3,194.8,5,8,Multi-Cloud Environments ,User Education ,,Keyword
178312,2/14/2024,normal,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Looker,Looker gdrive from EU datacenter fails ,Dion Edge,recurly.com,3,1467.6,86,61,Performance Challenges ,Unresolved ,,Keyword
180391,2/23/2024,normal,TRUE,FALSE,FALSE,TRUE,Google Cloud,ProductMappingIsMissing,ProductMappingIsMissing,Identity and Access Management (IAM),Resolve conflicting Personal and Cloud Identity accounts and troubleshoot corruptedinvalid access token ,Kai Sorus,harmonyhit.com,2,497,41,20,Password Security ,Finance Ops Fix ,,Keyword
180716,2/26/2024,normal,FALSE,FALSE,FALSE,FALSE,Google Cloud,Data and Analytics,Data,Cloud Storage,Can not download some files,Renato Shimabukuro,fivesigmalabs.com,3,72.8,16,3,Reliability and Availability ,Unresolved ,,Keyword
